© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Workspace	My Projects
Project	AlexC
Analysis	MockvVirus_DEP - 2020-10-08 04:50 PM
Date	Wed Oct 07 22:44:01 PDT 2020
Analysis ID	19812273

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.267 and up regulated 0.267
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
MockvVirus_DEP - 2020-10-08 04:50 PM	 	baicalin	 	chemical - endogenous non-mammalian	 	 	 	 	 	1.25E-02	CASP3,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	TCF4	 	transcription regulator	 	1.000	 	-0.050	1.100	1.29E-02	ALCAM,CASP3,MANF,PML,SH3GLB1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate	 	chemical - kinase inhibitor	 	 	 	 	 	1.35E-02	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	BRD2	 	kinase	 	 	 	 	 	1.35E-02	DYNLT1,S100A6	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	HSPA5	-0.240	enzyme	 	 	 	 	 	1.35E-02	CASP3,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ADD2	 	other	 	 	 	 	 	1.38E-02	ADD3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ARSA	 	enzyme	 	 	 	 	 	1.38E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	DCC	 	transmembrane receptor	 	 	 	 	 	1.38E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	DIDO1	 	other	 	 	 	 	 	1.38E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	GJB6	 	transporter	 	 	 	 	 	1.38E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	HSPBP1	0.272	other	 	 	 	 	 	1.38E-02	HSPA2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	OBSCN	 	kinase	 	 	 	 	 	1.38E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	PICK1	 	enzyme	 	 	 	 	 	1.38E-02	LYPLA1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Pou3f1	 	transcription regulator	 	 	 	 	 	1.38E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Prl3d1 (includes others)	 	other	 	 	 	 	 	1.38E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	TAS-103	 	chemical drug	 	 	 	 	 	1.38E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	TLCD3A	 	other	 	 	 	 	 	1.38E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ULK1	 	kinase	 	 	 	 	 	1.38E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	mir-138	 	microrna	 	 	 	 	 	1.38E-02	LYPLA1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	brefeldin A	 	chemical - endogenous non-mammalian	 	 	 	 	 	1.40E-02	COX5B,ERLEC1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	26s Proteasome	 	complex	 	 	 	 	 	1.58E-02	MLF1,MYCBP,PSMC2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	(-)-gossypol	 	chemical drug	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	4,4'-diisothiocyanostilbene-2,2'-disulfonic acid	 	chemical drug	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ACSL6	 	enzyme	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CD55	 	other	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	EGOT	 	other	 	 	 	 	 	1.72E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	FUT4	 	enzyme	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	GPR17	 	g-protein coupled receptor	 	 	 	 	 	1.72E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	SD-282	 	chemical - kinase inhibitor	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	XAF1	 	other	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	carvacrol	 	chemical - endogenous non-mammalian	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	mir-1275	 	microrna	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	omacetaxine mepesuccinate	 	chemical drug	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	orantinib	 	chemical drug	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	pergolide	 	chemical drug	 	 	 	 	 	1.72E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	rigosertib	 	chemical drug	 	 	 	 	 	1.72E-02	BID	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	benzene	 	chemical toxicant	 	 	 	 	 	1.72E-02	CASP3,MTPN	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	trichloroethylene	 	chemical toxicant	 	 	 	 	 	1.72E-02	CASP3,MTPN	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	mir-21	 	microrna	 	-1.000	 	0.111	-1.221	1.73E-02	CKAP5,NUCKS1,OAS2,SEPTIN2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	butyric acid	 	chemical - endogenous mammalian	 	0.000	 	-0.016	0.032	1.90E-02	CASP3,HADHB,OAS2,PCMT1,TUBA4A	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	RHO	 	g-protein coupled receptor	 	 	 	 	 	1.95E-02	CASP3,S100A6	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	PML	-0.763	transcription regulator	 	 	 	 	 	1.96E-02	HADHB,OAS2,PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ATP5IF1	-0.048	other	 	 	 	 	 	2.01E-02	HADHB,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	BAD	-0.106	other	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CASP2	 	peptidase	 	 	 	 	 	2.06E-02	BID	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CD226	 	other	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CIMO	 	chemical reagent	 	 	 	 	 	2.06E-02	BID	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CSE1L	0.318	transporter	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	DOHH	 	enzyme	 	 	 	 	 	2.06E-02	PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	HAND2-AS1	 	other	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	IL12RB1	 	transmembrane receptor	 	 	 	 	 	2.06E-02	OAS2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	N-retinylidene-N-retinylethanolamine	 	chemical - endogenous mammalian	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	RASSF3	 	other	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	T-2 toxin	 	chemical toxicant	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	TFPI	 	other	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	XPC	 	transcription regulator	 	 	 	 	 	2.06E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	beta-hydroxyisovaleric acid	 	chemical - endogenous mammalian	 	 	 	 	 	2.06E-02	PSMC2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ficusin	 	chemical drug	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ginsenoside Rg1	 	chemical - endogenous non-mammalian	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	givinostat	 	chemical drug	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	nomilin	 	chemical - endogenous non-mammalian	 	 	 	 	 	2.06E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ATF6	 	transcription regulator	 	 	 	 	 	2.07E-02	MANF,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	oxaliplatin	 	chemical drug	 	 	 	 	 	2.13E-02	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	methylmercury	 	chemical toxicant	 	 	 	 	 	2.19E-02	CASP3,MTPN	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	miR-122-5p (miRNAs w/seed GGAGUGU)	 	mature microrna	 	 	 	 	 	2.19E-02	MECP2,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CIP2A	 	other	 	 	 	 	 	2.26E-02	SCIN,TUBA4A	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ESR1	 	ligand-dependent nuclear receptor	 	1.414	 	-0.024	1.482	2.29E-02	ADD3,ALCAM,COG7,CPNE1,ENAH,GNAQ,HSPA2,PLS1,RANBP2,SCIN	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	miR-145-5p (and other miRNAs w/seed UCCAGUU)	 	mature microrna	 	 	 	 	 	2.32E-02	ABRACL,DFFA	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CD2AP	-0.075	other	 	 	 	 	 	2.39E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	DEAF1	 	transcription regulator	 	 	 	 	 	2.39E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	GLP-1 (7-36) amide	 	biologic drug	 	 	 	 	 	2.39E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	HLA-B	 	transmembrane receptor	 	 	 	 	 	2.39E-02	OAS2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Hmgb2 (includes others)	 	transcription regulator	 	 	 	 	 	2.39E-02	TUBA4A	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	NUP107	0.282	other	 	 	 	 	 	2.39E-02	RANBP2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	S-allyl-L-cysteine	 	chemical - endogenous non-mammalian	 	 	 	 	 	2.39E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	SNCB	 	other	 	 	 	 	 	2.39E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ST8SIA4	 	enzyme	 	 	 	 	 	2.39E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	XIST	 	other	 	 	 	 	 	2.39E-02	MECP2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	nicorandil	 	chemical drug	 	 	 	 	 	2.39E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	rh-endostatin	 	chemical drug	 	 	 	 	 	2.39E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	rutin	 	chemical toxicant	 	 	 	 	 	2.39E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ETV6-RUNX1	 	fusion gene/product	 	1.980	 	0.120	1.743	2.42E-02	BID,CLIC1,OAS2,PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	torin1	 	chemical reagent	 	 	 	 	 	2.49E-02	ATP6V1F,COX5B,RPS12	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	2-deoxyglucose	 	chemical drug	 	 	 	 	 	2.51E-02	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	gemfibrozil	 	chemical drug	 	 	 	 	 	2.51E-02	HADHB,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	AQP7	 	transporter	 	 	 	 	 	2.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CD8A	 	other	 	 	 	 	 	2.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Duxbl1 (includes others)	 	other	 	 	 	 	 	2.73E-02	OAS2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	GAL3ST1	 	enzyme	 	 	 	 	 	2.73E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	HSPA8	0.130	enzyme	 	 	 	 	 	2.73E-02	MANF	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MAP3K12	 	kinase	 	 	 	 	 	2.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	RASSF10	 	other	 	 	 	 	 	2.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	butyl N-[3-[4-(imidazol-1-ylmethyl)phenyl]-5-(2-methylpropyl)thiophen-2-yl]sulfonylcarbamate	 	chemical reagent	 	 	 	 	 	2.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	citrinin	 	chemical toxicant	 	 	 	 	 	2.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	miR-138-5p (miRNAs w/seed GCUGGUG)	 	mature microrna	 	 	 	 	 	2.73E-02	LYPLA1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	IRF1	 	transcription regulator	 	 	 	 	 	2.74E-02	CASP3,OAS2,PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	TFAP2C	 	transcription regulator	 	 	 	 	 	2.78E-02	ALCAM,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	cadmium	 	chemical toxicant	 	 	 	 	 	2.78E-02	BID,CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	minocycline	 	chemical drug	 	 	 	 	 	2.85E-02	CASP3,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	UCHL1	 	peptidase	 	 	 	 	 	2.92E-02	EIF3M,PSMC2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	EGFR	-0.009	kinase	 	-0.651	 	-0.080	-0.474	3.01E-02	CASP3,EPS15,MBP,TUBA4A,UBA1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	HRAS	 	enzyme	 	 	 	 	 	3.02E-02	HADHB,MACROH2A2,NUCKS1,PABPC4,PML,PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	HDAC5	 	transcription regulator	 	 	 	 	 	3.06E-02	HMGCL,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	BCKDK	 	kinase	 	 	 	 	 	3.07E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Ck2	 	complex	 	 	 	 	 	3.07E-02	BID	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ESRP1	 	other	 	 	 	 	 	3.07E-02	ENAH	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	GPR183	 	g-protein coupled receptor	 	 	 	 	 	3.07E-02	PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Presenilin	 	group	 	 	 	 	 	3.07E-02	PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	SLC16A3	 	transporter	 	 	 	 	 	3.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	SNHG7	 	other	 	 	 	 	 	3.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	UCA1	 	other	 	 	 	 	 	3.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	UCHL3	0.205	peptidase	 	 	 	 	 	3.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	UCHL5	-0.144	peptidase	 	 	 	 	 	3.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	di-spiropyrrolizidino oxindole andrographolide derivative CY2	 	chemical reagent	 	 	 	 	 	3.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	miR-182 inhibitor	 	chemical reagent	 	 	 	 	 	3.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	tangeretin	 	chemical - endogenous non-mammalian	 	 	 	 	 	3.07E-02	BID	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	tomatidine	 	chemical - endogenous non-mammalian	 	 	 	 	 	3.07E-02	LARS1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	IL3	 	cytokine	 	 	 	 	 	3.08E-02	CASP3,EIF3G,HSPA2,RPS12	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	GAST	 	other	 	 	 	 	 	3.20E-02	COX5B,S100A6	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	thapsigargin	 	chemical toxicant	 	 	 	 	 	3.21E-02	COX5B,ERLEC1,MLF1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	BCL6B	 	transcription regulator	 	 	 	 	 	3.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Cyclin D	 	group	 	 	 	 	 	3.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	FUS	0.035	transcription regulator	 	 	 	 	 	3.40E-02	MECP2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	GNA11	-0.202	enzyme	 	 	 	 	 	3.40E-02	GNAQ	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	S100P	-0.092	other	 	 	 	 	 	3.40E-02	S100A6	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	SOX8	 	transcription regulator	 	 	 	 	 	3.40E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	acetic acid	 	chemical - endogenous mammalian	 	 	 	 	 	3.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	tiron	 	chemical reagent	 	 	 	 	 	3.40E-02	PRDX2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CD 437	 	chemical drug	 	 	 	 	 	3.42E-02	CLIC1,EIF3D,EIF3G	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	fluoxetine	 	chemical drug	 	 	 	 	 	3.42E-02	CASP3,MECP2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ALKBH5	 	enzyme	 	 	 	 	 	3.50E-02	MBP,UBA1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	1,2-dithiol-3-thione	 	chemical reagent	 	 	 	 	 	3.54E-02	EIF3D,EIF3G,PSMC2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	IFNL1	 	cytokine	 	 	 	 	 	3.58E-02	OAS2,PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	PPARGC1A	 	transcription regulator	 	-0.130	 	-0.039	-0.055	3.64E-02	COX5B,HMGCL,KYAT3,MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CERS2	 	transcription regulator	 	 	 	 	 	3.74E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CHRNA3	 	transmembrane receptor	 	 	 	 	 	3.74E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	NRBP2	 	kinase	 	 	 	 	 	3.74E-02	BID	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ZFP57	 	transcription regulator	 	 	 	 	 	3.74E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	kukoamine A	 	chemical - endogenous non-mammalian	 	 	 	 	 	3.74E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	liraglutide	 	biologic drug	 	 	 	 	 	3.74E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	mimosine	 	chemical drug	 	 	 	 	 	3.74E-02	CSNK2B	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	sesamin	 	chemical - endogenous non-mammalian	 	 	 	 	 	3.74E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	sevoflurane	 	chemical drug	 	 	 	 	 	3.74E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	4-phenylbutyric acid	 	chemical - endogenous mammalian	 	 	 	 	 	3.81E-02	CASP3,LYPLA1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	DMD	 	other	 	 	 	 	 	3.94E-02	MLF1,SCIN,SH3GLB1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	tunicamycin	 	chemical - endogenous non-mammalian	 	 	 	 	 	4.03E-02	COX5B,ERLEC1,MANF	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	BACE1	 	peptidase	 	 	 	 	 	4.07E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CCAT1	 	other	 	 	 	 	 	4.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CLCA2	 	ion channel	 	 	 	 	 	4.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ETV6	 	transcription regulator	 	 	 	 	 	4.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	IFNL4	 	cytokine	 	 	 	 	 	4.07E-02	OAS2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	JUP	0.099	other	 	 	 	 	 	4.07E-02	PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	NUMBL	 	other	 	 	 	 	 	4.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	TOP1	0.136	enzyme	 	 	 	 	 	4.07E-02	MECP2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	cucurbitacin B	 	chemical - endogenous non-mammalian	 	 	 	 	 	4.07E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	miR-375-3p (miRNAs w/seed UUGUUCG)	 	mature microrna	 	 	 	 	 	4.07E-02	MTPN	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	FAS	 	transmembrane receptor	 	 	 	 	 	4.13E-02	AKAP9,BID,CASP3,TUBA4A	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ADAM10	-0.350	peptidase	 	 	 	 	 	4.20E-02	BID,GNAQ	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	erlotinib	 	chemical drug	 	 	 	 	 	4.20E-02	ENAH,PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	1,2-dimethylhydrazine	 	chemical toxicant	 	 	 	 	 	4.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	D-alpha-tocopheryl succinate	 	chemical reagent	 	 	 	 	 	4.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	LAMA2	 	other	 	 	 	 	 	4.40E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MDGA2	 	other	 	 	 	 	 	4.40E-02	BID	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MIA-602	 	chemical reagent	 	 	 	 	 	4.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	POU3F1	 	transcription regulator	 	 	 	 	 	4.40E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	UGCG	 	enzyme	 	 	 	 	 	4.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	YWHAQ	0.096	other	 	 	 	 	 	4.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ZNF143	 	transcription regulator	 	 	 	 	 	4.40E-02	TCP1	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	rhodioloside	 	chemical - endogenous non-mammalian	 	 	 	 	 	4.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	topiramate	 	chemical drug	 	 	 	 	 	4.40E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	MAPK1	-0.036	kinase	 	 	 	 	 	4.51E-02	MBP,MECP2,OAS2,PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	phosphate	 	chemical - endogenous mammalian	 	 	 	 	 	4.53E-02	CPNE1,MTPN	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	ETV5	 	transcription regulator	 	 	 	 	 	4.61E-02	ALCAM,S100A6	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	Ifn gamma	 	complex	 	 	 	 	 	4.61E-02	CASP3,PML	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	APP	 	other	 	-1.698	 	-0.063	-1.592	4.70E-02	CASP3,CLIC1,MBP,MECP2,PRDX2,RANBP2,TUBA4A	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	(+)-catechin	 	chemical drug	 	 	 	 	 	4.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	CBS/CBSL	 	enzyme	 	 	 	 	 	4.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	DEFB103A/DEFB103B	 	other	 	 	 	 	 	4.73E-02	BID	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	LAMC1	 	other	 	 	 	 	 	4.73E-02	MBP	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	chondroitin sulfate A	 	chemical - endogenous mammalian	 	 	 	 	 	4.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	miR-132-3p (and other miRNAs w/seed AACAGUC)	 	mature microrna	 	 	 	 	 	4.73E-02	MECP2	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	miR-196a-5p (and other miRNAs w/seed AGGUAGU)	 	mature microrna	 	 	 	 	 	4.73E-02	CASP3	 	
MockvVirus_DEP - 2020-10-08 04:50 PM	 	mocetinostat	 	chemical drug	 	 	 	 	 	4.73E-02	CASP3	 	
